,train,test
352,tensor(3.9294),tensor(6.8992)
353,tensor(3.9250),tensor(6.8992)
354,tensor(3.9340),tensor(6.8990)
355,tensor(3.9160),tensor(6.8989)
356,tensor(3.9310),tensor(6.8989)
357,tensor(3.9312),tensor(6.8987)
358,tensor(3.9232),tensor(6.8987)
359,tensor(3.9375),tensor(6.8986)
360,tensor(3.9291),tensor(6.8986)
361,tensor(3.9513),tensor(6.8986)
362,tensor(3.9303),tensor(6.8986)
363,tensor(3.9511),tensor(6.8986)
364,tensor(3.9265),tensor(6.8986)
365,tensor(3.9346),tensor(6.8985)
366,tensor(3.9371),tensor(6.8985)
367,tensor(3.9316),tensor(6.8984)
368,tensor(3.9308),tensor(6.8984)
369,tensor(3.9270),tensor(6.8984)
370,tensor(3.9372),tensor(6.8984)
371,tensor(3.9481),tensor(6.8985)
372,tensor(3.9170),tensor(6.8984)
373,tensor(3.9338),tensor(6.8984)
374,tensor(3.9226),tensor(6.8983)
375,tensor(3.9224),tensor(6.8983)
376,tensor(3.9300),tensor(6.8982)
377,tensor(3.9316),tensor(6.8981)
378,tensor(3.9133),tensor(6.8981)
379,tensor(3.9408),tensor(6.8981)
380,tensor(3.9328),tensor(6.8981)
381,tensor(3.9313),tensor(6.8981)
382,tensor(3.9394),tensor(6.8981)
383,tensor(3.9336),tensor(6.8980)
384,tensor(3.9394),tensor(6.8980)
385,tensor(3.9258),tensor(6.8979)
386,tensor(3.9291),tensor(6.8979)
387,tensor(3.9457),tensor(6.8979)
388,tensor(3.9432),tensor(6.8980)
389,tensor(3.9308),tensor(6.8981)
390,tensor(3.9281),tensor(6.8980)
391,tensor(3.9418),tensor(6.8980)
392,tensor(3.9375),tensor(6.8979)
393,tensor(3.9290),tensor(6.8980)
394,tensor(3.9276),tensor(6.8980)
395,tensor(3.9349),tensor(6.8980)
396,tensor(3.9284),tensor(6.8981)
397,tensor(3.9390),tensor(6.8981)
398,tensor(3.9496),tensor(6.8981)
399,tensor(3.9271),tensor(6.8982)
400,tensor(3.9230),tensor(6.8982)
401,tensor(3.9436),tensor(6.8982)
402,tensor(3.9260),tensor(6.8982)
403,tensor(3.9410),tensor(6.8982)
404,tensor(3.9152),tensor(6.8982)
405,tensor(3.9282),tensor(6.8982)
406,tensor(3.9198),tensor(6.8981)
407,tensor(3.9306),tensor(6.8981)
408,tensor(3.9352),tensor(6.8982)
409,tensor(3.9227),tensor(6.8981)
410,tensor(3.9382),tensor(6.8981)
411,tensor(3.9134),tensor(6.8981)
412,tensor(3.9328),tensor(6.8982)
413,tensor(3.9393),tensor(6.8981)
414,tensor(3.9429),tensor(6.8981)
415,tensor(3.9239),tensor(6.8981)
416,tensor(3.9512),tensor(6.8981)
417,tensor(3.9389),tensor(6.8980)
418,tensor(3.9161),tensor(6.8979)
419,tensor(3.9441),tensor(6.8979)
420,tensor(3.9172),tensor(6.8978)
421,tensor(3.9362),tensor(6.8977)
422,tensor(3.9323),tensor(6.8977)
423,tensor(3.9268),tensor(6.8977)
424,tensor(3.9265),tensor(6.8976)
425,tensor(3.9154),tensor(6.8976)
426,tensor(3.9320),tensor(6.8977)
427,tensor(3.9279),tensor(6.8976)
428,tensor(3.9086),tensor(6.8976)
429,tensor(3.9321),tensor(6.8976)
430,tensor(3.9337),tensor(6.8976)
431,tensor(3.9200),tensor(6.8977)
432,tensor(3.9166),tensor(6.8977)
433,tensor(3.9348),tensor(6.8977)
434,tensor(3.9426),tensor(6.8977)
435,tensor(3.9214),tensor(6.8977)
436,tensor(3.9474),tensor(6.8977)
437,tensor(3.9247),tensor(6.8977)
438,tensor(3.9224),tensor(6.8977)
439,tensor(3.9228),tensor(6.8976)
440,tensor(3.9328),tensor(6.8975)
441,tensor(3.9253),tensor(6.8975)
442,tensor(3.9293),tensor(6.8975)
443,tensor(3.9228),tensor(6.8974)
444,tensor(3.9099),tensor(6.8973)
445,tensor(3.9101),tensor(6.8972)
446,tensor(3.9330),tensor(6.8971)
447,tensor(3.9156),tensor(6.8971)
448,tensor(3.9303),tensor(6.8971)
449,tensor(3.9233),tensor(6.8971)
450,tensor(3.9297),tensor(6.8971)
451,tensor(3.9119),tensor(6.8970)
452,tensor(3.9297),tensor(6.8969)
453,tensor(3.9207),tensor(6.8968)
454,tensor(3.9262),tensor(6.8967)
455,tensor(3.9200),tensor(6.8966)
456,tensor(3.9209),tensor(6.8966)
457,tensor(3.9168),tensor(6.8966)
458,tensor(3.9286),tensor(6.8966)
459,tensor(3.9288),tensor(6.8965)
460,tensor(3.9192),tensor(6.8965)
461,tensor(3.9268),tensor(6.8964)
462,tensor(3.9306),tensor(6.8965)
463,tensor(3.9297),tensor(6.8965)
464,tensor(3.9353),tensor(6.8965)
465,tensor(3.9240),tensor(6.8964)
466,tensor(3.9281),tensor(6.8964)
467,tensor(3.9137),tensor(6.8964)
468,tensor(3.9183),tensor(6.8963)
469,tensor(3.9147),tensor(6.8963)
470,tensor(3.9322),tensor(6.8963)
471,tensor(3.9288),tensor(6.8964)
472,tensor(3.9301),tensor(6.8965)
473,tensor(3.9066),tensor(6.8964)
474,tensor(3.9156),tensor(6.8963)
475,tensor(3.9176),tensor(6.8963)
476,tensor(3.9442),tensor(6.8963)
477,tensor(3.9322),tensor(6.8963)
478,tensor(3.9312),tensor(6.8963)
479,tensor(3.9049),tensor(6.8963)
480,tensor(3.9202),tensor(6.8964)
481,tensor(3.9354),tensor(6.8964)
482,tensor(3.9327),tensor(6.8963)
483,tensor(3.9161),tensor(6.8964)
484,tensor(3.9234),tensor(6.8964)
485,tensor(3.9212),tensor(6.8964)
